time,open,high,low,close,volume
1766697300,87982.0,87982.0,87936.45,87976.83,2.41085
1766697360,87976.83,87982.98,87927.95,87927.95,6.58228
1766697420,87927.95,87943.02,87927.95,87943.01,1.63525
1766697480,87943.02,87943.02,87929.5,87929.5,1.18848
1766697540,87929.5,87943.32,87929.5,87943.32,2.48624
1766697600,87943.31,87968.8,87943.31,87946.7,1.62519
1766697660,87946.7,87950.72,87946.69,87950.71,1.56266
1766697720,87950.71,87950.72,87931.43,87943.75,4.28324
1766697780,87943.75,87943.76,87943.75,87943.76,0.57467
1766697840,87943.76,87961.3,87943.75,87961.3,2.92315
1766697900,87961.3,87965.26,87961.29,87965.26,0.44882
1766697960,87965.26,87965.26,87958.2,87958.2,1.2181
1766698020,87958.21,87958.21,87949.48,87949.48,0.43322
1766698080,87949.48,87949.49,87949.48,87949.49,1.39346
1766698140,87949.48,87958.2,87949.48,87958.19,0.68465
1766698200,87958.19,87958.2,87958.19,87958.2,0.49328
1766698260,87958.2,87959.09,87945.34,87945.34,3.96518
1766698320,87945.35,87973.95,87945.34,87951.05,2.82256
1766698380,87951.06,87956.14,87951.05,87956.14,0.69741
1766698440,87956.14,87956.14,87945.54,87945.55,7.29843
1766698500,87945.55,87945.55,87945.54,87945.55,0.47923
1766698560,87945.55,87966.39,87945.54,87966.39,3.49388
1766698620,87966.39,87966.42,87966.38,87966.41,2.59614
1766698680,87966.42,87969.42,87966.41,87969.42,0.55236
1766698740,87969.41,87969.42,87969.41,87969.41,0.34607
1766698800,87969.41,87969.42,87947.08,87947.09,5.58277
1766698860,87947.08,87965.0,87947.08,87965.0,1.1467
1766698920,87965.0,87979.91,87964.99,87974.92,2.32392
1766698980,87974.92,87974.92,87961.86,87961.86,1.82733
1766699040,87961.87,87961.87,87961.86,87961.87,0.24021
1766699100,87961.86,87961.87,87961.86,87961.86,0.41311
1766699160,87961.87,87961.87,87961.86,87961.87,0.73054
1766699220,87961.86,87961.87,87961.86,87961.87,0.44921
1766699280,87961.86,87961.86,87945.6,87945.61,5.41424
1766699340,87945.61,87945.61,87945.6,87945.6,0.40874
1766699400,87945.6,87945.61,87932.0,87932.0,3.4033
1766699460,87932.0,87941.85,87932.0,87941.84,1.49945
1766699520,87941.85,87949.3,87932.0,87932.01,1.06904
1766699580,87932.0,87932.01,87907.79,87907.8,1.11375
1766699640,87907.8,87907.8,87878.27,87878.28,2.82108
1766699700,87878.28,87892.17,87872.68,87892.17,1.88977
1766699760,87892.17,87892.17,87892.16,87892.16,1.41297
1766699820,87892.17,87901.22,87892.16,87901.21,1.00527
1766699880,87901.22,87901.22,87901.21,87901.22,0.36787
1766699940,87901.21,87901.22,87901.21,87901.21,0.28435
1766700000,87901.22,87915.1,87901.21,87910.71,1.50533
1766700060,87910.7,87915.1,87910.7,87915.1,0.24773
1766700120,87915.1,87915.1,87915.09,87915.09,1.34925
1766700180,87915.09,87915.1,87915.09,87915.09,0.61502
1766700240,87915.1,87915.1,87915.09,87915.1,0.62322
1766700300,87915.09,87915.09,87792.67,87799.8,9.49528
1766700360,87799.8,87845.92,87799.79,87845.92,1.25422
1766700420,87845.91,87845.92,87836.66,87836.66,0.64692
1766700480,87836.67,87837.37,87836.66,87837.36,1.41192
1766700540,87837.37,87837.37,87807.8,87807.81,2.4365
1766700600,87807.81,87828.08,87804.8,87828.08,23.24537
1766700660,87828.07,87837.37,87828.07,87837.37,2.46356
1766700720,87837.36,87837.37,87837.36,87837.37,0.82676
1766700780,87837.36,87860.76,87837.36,87860.76,21.8001
1766700840,87860.75,87871.06,87855.6,87855.6,4.30036
1766700900,87855.6,87855.61,87827.21,87854.23,1.61845
1766700960,87854.24,87854.24,87854.23,87854.24,0.43109
1766701020,87854.24,87860.97,87854.23,87860.97,1.64284
1766701080,87860.97,87860.97,87860.96,87860.97,0.29291
1766701140,87860.97,87860.97,87860.96,87860.97,0.5814
1766701200,87860.96,87860.97,87840.01,87840.02,0.91252
1766701260,87840.02,87851.08,87840.0,87840.01,1.25631
1766701320,87840.0,87840.01,87832.84,87832.85,2.19277
1766701380,87832.84,87839.7,87826.46,87839.7,0.85968
1766701440,87839.69,87839.7,87825.06,87825.07,0.81144
1766701500,87825.07,87840.69,87822.02,87838.89,36.97518
1766701560,87838.89,87838.9,87837.0,87837.01,3.73704
1766701620,87837.0,87844.05,87837.0,87844.04,1.05973
1766701680,87844.05,87872.93,87844.04,87872.93,0.92638
1766701740,87872.92,87872.93,87842.85,87842.85,4.08479
1766701800,87842.86,87842.86,87842.85,87842.86,2.97161
1766701860,87842.86,87877.77,87842.85,87877.77,3.47486
1766701920,87877.77,87877.77,87855.49,87855.49,1.42071
1766701980,87855.49,87855.5,87855.49,87855.5,1.24304
1766702040,87855.5,87855.5,87855.49,87855.5,0.68555
1766702100,87855.5,87877.86,87855.49,87877.86,0.87015
1766702160,87877.86,87892.55,87877.85,87892.55,0.77212
1766702220,87892.55,87896.92,87892.54,87896.92,0.63161
1766702280,87896.92,87901.41,87896.92,87900.0,2.67921
1766702340,87900.0,87900.0,87888.3,87888.31,1.10916
1766702400,87888.3,87888.3,87876.8,87876.8,0.9274
1766702460,87876.81,87876.81,87770.45,87788.0,5.86309
1766702520,87788.0,87821.77,87787.99,87821.76,1.87185
1766702580,87821.77,87827.0,87770.45,87794.59,7.04666
1766702640,87794.58,87794.58,87700.0,87709.82,5.64185
1766702700,87709.82,87709.82,87558.87,87615.83,30.73554
1766702760,87615.83,87656.0,87576.81,87625.71,6.05663
1766702820,87625.22,87625.79,87378.45,87580.01,70.9243
1766702880,87580.01,87580.01,87506.47,87512.82,12.80878
1766702940,87512.81,87512.82,87361.54,87400.86,17.60494
1766703000,87400.87,87486.9,87388.08,87482.72,17.36157
1766703060,87482.72,87563.16,87464.26,87482.88,15.40399
